sex,marital status,age,size,type,country
Male,Married,29,Small,Family,Japanese
Male,Married,38,Medium,Family,American
Male,Married,37,Medium,Family,Japanese
Male,Married,38,Small,Family,Japanese
Male,Married,31,Medium,Family,European
Male,Married,39,Large,Family,American
Female,Married,37,Large,Family,American
Male,Single,36,Small,Work,Japanese
Female,Married,37,Small,Sporty,European
Male,Single,27,Small,Sporty,Japanese
Male,Single,26,Large,Work,American
Female,Married,23,Medium,Family,American
Female,Single,28,Large,Work,European
Female,Single,29,Small,Work,Japanese
Male,Married,35,Medium,Family,European
Female,Married,40,Small,Work,Japanese
Male,Married,44,Small,Sporty,Japanese
Male,Married,35,Small,Family,American
Male,Married,30,Small,Family,Japanese
Male,Married,27,Large,Work,American
Female,Single,24,Medium,Family,American
Female,Married,35,Medium,Family,American
Female,Married,26,Small,Sporty,Japanese
Female,Married,32,Small,Work,Japanese
Male,Single,22,Medium,Family,Japanese
Female,Married,25,Small,Family,American
Male,Married,33,Medium,Family,Japanese
Female,Married,37,Large,Family,American
Male,Married,27,Small,Family,Japanese
Male,Married,38,Medium,Work,Japanese
Female,Single,25,Small,Sporty,Japanese
Male,Single,24,Small,Work,Japanese
Male,Married,25,Small,Work,American
Male,Married,28,Small,Sporty,Japanese
Male,Married,20,Small,Family,Japanese
Female,Married,25,Large,Work,Japanese
Female,Married,39,Large,Work,European
Male,Married,28,Medium,Sporty,Japanese
Female,Married,32,Small,Family,Japanese
Male,Married,22,Medium,Family,American
Male,Married,28,Medium,Family,Japanese
Female,Married,27,Medium,Family,Japanese
Male,Married,38,Medium,Sporty,Japanese
Male,Married,33,Small,Family,European
Male,Single,35,Small,Family,Japanese
Female,Married,24,Medium,Sporty,American
Male,Married,27,Small,Sporty,American
Female,Single,40,Small,Work,American
Female,Married,27,Small,Sporty,Japanese
Female,Single,25,Medium,Sporty,European
Male,Single,26,Medium,Sporty,American
Male,Single,30,Small,Sporty,Japanese
Male,Single,26,Large,Work,European
Male,Single,23,Medium,Work,Japanese
Male,Single,24,Medium,Sporty,European
Male,Married,28,Medium,Work,Japanese
Male,Married,43,Small,Family,European
Male,Single,36,Medium,Sporty,American
Female,Single,24,Small,Family,Japanese
Female,Single,60,Small,Family,Japanese
Female,Single,24,Medium,Sporty,American
Female,Married,30,Medium,Family,Japanese
Male,Married,30,Small,Family,American
Male,Married,31,Medium,Family,American
Female,Married,28,Small,Family,American
Male,Single,26,Small,Sporty,Japanese
Female,Single,41,Large,Work,American
Female,Single,35,Medium,Sporty,European
Female,Single,25,Medium,Sporty,Japanese
Male,Single,31,Medium,Sporty,Japanese
Female,Married,30,Small,Sporty,Japanese
Female,Married,34,Medium,Family,American
Female,Married,33,Medium,Family,European
Male,Single,31,Large,Work,American
Male,Married,33,Large,Family,American
Male,Married,33,Small,Work,Japanese
Female,Married,28,Small,Work,Japanese
Female,Married,32,Small,Family,American
Female,Married,39,Medium,Family,Japanese
Female,Married,29,Large,Work,American
Female,Single,21,Medium,Family,American
Female,Married,29,Medium,Family,American
Female,Married,26,Medium,Family,American
Female,Single,23,Small,Sporty,Japanese
Female,Married,29,Large,Family,European
Male,Single,35,Medium,Sporty,Japanese
Male,Married,33,Large,Family,American
Female,Single,33,Small,Sporty,Japanese
Male,Married,29,Small,Family,Japanese
Male,Single,23,Small,Sporty,Japanese
Male,Single,35,Small,Sporty,Japanese
Female,Married,24,Small,Family,European
Male,Married,39,Medium,Work,Japanese
Male,Married,33,Medium,Family,American
Male,Single,30,Small,Family,Japanese
Female,Married,26,Medium,Sporty,Japanese
Female,Married,36,Large,Family,American
Female,Married,25,Medium,Family,Japanese
Male,Single,23,Medium,Sporty,Japanese
Female,Married,37,Small,Sporty,European
Male,Married,34,Small,Work,Japanese
Female,Married,31,Large,Family,American
Female,Married,39,Medium,Family,American
Female,Married,41,Small,Work,American
Female,Married,39,Medium,Sporty,American
Male,Married,34,Large,Family,American
Female,Single,32,Medium,Family,American
Female,Married,29,Medium,Family,American
Female,Single,23,Small,Sporty,Japanese
Male,Married,41,Large,Family,American
Female,Married,27,Medium,Family,American
Male,Single,26,Small,Sporty,Japanese
Male,Married,28,Medium,Work,Japanese
Female,Married,37,Small,Family,Japanese
Female,Single,39,Medium,Family,American
Male,Married,32,Medium,Work,Japanese
Male,Married,34,Large,Family,American
Female,Single,29,Small,Family,Japanese
Male,Single,25,Small,Sporty,Japanese
Female,Married,30,Small,Family,Japanese
Female,Married,29,Large,Work,American
Male,Married,32,Large,Family,Japanese
Female,Married,31,Small,Work,Japanese
Male,Single,22,Small,Sporty,American
Male,Married,31,Small,Sporty,European
Male,Married,31,Small,Family,Japanese
Female,Married,40,Medium,Family,American
Female,Married,26,Small,Family,American
Male,Single,23,Small,Sporty,European
Male,Married,35,Small,Family,American
Male,Single,26,Small,Sporty,Japanese
Female,Married,29,Medium,Family,Japanese
Male,Single,26,Small,Work,Japanese
Female,Single,31,Medium,Family,Japanese
Male,Married,25,Small,Sporty,Japanese
Female,Single,45,Medium,Family,American
Female,Single,33,Small,Sporty,Japanese
Male,Single,38,Small,Family,Japanese
Male,Single,25,Medium,Sporty,Japanese
Male,Married,32,Medium,Family,American
Male,Single,24,Small,Sporty,Japanese
Female,Married,33,Medium,Family,Japanese
Male,Married,33,Medium,Family,Japanese
Female,Married,42,Medium,Family,Japanese
Female,Married,27,Medium,Family,American
Male,Married,33,Small,Work,Japanese
Female,Single,33,Medium,Family,Japanese
Male,Married,32,Medium,Family,American
Male,Single,28,Small,Work,American
Female,Single,30,Medium,Sporty,Japanese
Female,Single,26,Medium,Family,European
Male,Single,27,Small,Sporty,Japanese
Male,Married,23,Small,Family,Japanese
Female,Married,27,Small,Sporty,Japanese
Male,Married,33,Medium,Family,Japanese
Male,Married,24,Medium,Family,American
Male,Single,22,Small,Sporty,Japanese
Female,Single,28,Small,Family,Japanese
Male,Married,32,Medium,Family,Japanese
Male,Single,24,Medium,Family,American
Male,Married,29,Small,Family,American
Male,Married,32,Small,Sporty,Japanese
Male,Married,30,Small,Sporty,American
Female,Married,35,Small,Family,Japanese
Female,Single,32,Small,Sporty,Japanese
Male,Married,32,Medium,Family,American
Male,Married,40,Small,Family,American
Male,Single,30,Small,Work,Japanese
Male,Single,29,Large,Family,American
Female,Married,32,Medium,Family,American
Female,Married,35,Small,Family,Japanese
Female,Single,25,Medium,Family,Japanese
Male,Single,25,Medium,Family,Japanese
Female,Single,23,Small,Sporty,Japanese
Female,Single,22,Small,Sporty,Japanese
Male,Single,26,Small,Sporty,European
Male,Married,25,Small,Sporty,Japanese
Male,Single,30,Small,Family,Japanese
Female,Married,29,Medium,Family,American
Female,Married,32,Small,Family,American
Female,Single,18,Medium,Sporty,American
Female,Married,25,Small,Sporty,Japanese
Male,Married,21,Medium,Sporty,American
Female,Married,37,Large,Family,American
Male,Married,38,Medium,Family,American
Male,Single,32,Small,Sporty,Japanese
Male,Single,34,Large,Family,American
Male,Married,35,Medium,Work,American
Male,Married,34,Small,Family,Japanese
Male,Single,46,Large,Family,American
Male,Married,37,Medium,Family,Japanese
Male,Single,37,Large,Sporty,American
Male,Married,35,Small,Sporty,European
Male,Single,54,Medium,Family,American
Male,Single,36,Medium,Sporty,American
Female,Married,32,Medium,Family,Japanese
Female,Married,37,Medium,Work,American
Male,Married,27,Small,Sporty,European
Female,Married,25,Medium,Sporty,American
Male,Single,28,Small,Family,European
Male,Single,35,Small,Work,Japanese
Female,Single,27,Small,Sporty,European
Female,Single,24,Small,Sporty,American
Female,Married,37,Small,Work,American
Male,Married,30,Large,Family,American
Female,Single,28,Medium,Sporty,Japanese
Female,Married,27,Small,Sporty,Japanese
Female,Married,26,Small,Work,Japanese
Female,Married,51,Large,Family,American
Male,Single,28,Medium,Sporty,European
Male,Married,34,Medium,Sporty,Japanese
Male,Married,32,Large,Family,American
Female,Married,27,Medium,Family,Japanese
Female,Single,33,Small,Family,Japanese
Female,Married,26,Large,Family,American
Male,Married,23,Small,Sporty,Japanese
Male,Married,28,Medium,Family,Japanese
Male,Single,30,Small,Sporty,Japanese
Female,Married,21,Large,Family,American
Female,Married,32,Small,Work,Japanese
Female,Married,30,Medium,Family,Japanese
Male,Single,46,Medium,Sporty,European
Female,Married,25,Small,Sporty,Japanese
Female,Married,25,Medium,Work,Japanese
Female,Married,40,Medium,Family,American
Female,Single,46,Small,Family,Japanese
Female,Single,34,Small,Family,Japanese
Female,Married,37,Medium,Family,American
Male,Married,33,Small,Sporty,Japanese
Female,Married,27,Small,Work,American
Female,Married,25,Small,Work,Japanese
Female,Married,35,Medium,Family,Japanese
Male,Married,34,Small,Family,Japanese
Male,Single,29,Large,Family,American
Male,Married,29,Medium,Work,American
Male,Married,26,Small,Family,Japanese
Male,Married,25,Medium,Sporty,European
Male,Married,31,Small,Sporty,Japanese
Female,Married,25,Small,Sporty,European
Male,Married,32,Medium,Sporty,Japanese
Male,Married,29,Medium,Family,Japanese
