Account Length,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
126,no,no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0
138,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0
147,no,no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8,4,2.16,3,0
85,no,no,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,0,0
50,no,no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0
82,no,no,0,300.3,109,51.05,181,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1
144,no,no,0,61.6,117,10.47,77.1,85,6.55,173,99,7.79,8.2,7,2.21,4,1
46,no,no,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0
55,no,yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11,2,2.97,3,0
106,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1
111,no,no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12,2,3.24,1,0
74,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0
80,no,no,0,124.3,100,21.13,173,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0
104,no,no,0,278.4,106,47.33,81,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0
73,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0,0
99,no,no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0
95,no,no,0,135,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,0
122,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0
120,no,no,0,165,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,0
103,no,no,0,185,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,0
64,no,no,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0
41,no,yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,0
121,no,no,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,0
85,no,no,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12,3,3.24,1,0
162,no,no,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,1
61,no,yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,1
131,no,yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,0
75,no,no,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,0
82,no,no,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,0
91,yes,no,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,0
127,no,yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,0
110,no,no,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,0
120,no,yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,0
157,no,yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,0
117,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,1
140,no,no,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,0
117,no,no,0,102.8,119,17.48,206.7,91,17.57,299,105,13.46,10.1,7,2.73,1,0
96,no,no,0,260.4,115,44.27,146,46,12.41,269.5,87,12.13,11.5,4,3.11,5,0
83,no,no,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,1
139,no,yes,23,157.6,129,26.79,247,96,21,259.2,112,11.66,13.7,2,3.7,0,0
6,no,no,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,0
87,no,no,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,0
141,no,no,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12,6,3.24,0,0
141,no,yes,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,0
146,no,no,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,0
185,no,yes,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,0
148,no,no,0,202,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,0
94,no,yes,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,0
62,no,no,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,0
70,no,no,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0,0,0,3,0
94,yes,yes,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,0
67,no,yes,36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2,0
19,no,no,0,186.1,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,2,0
107,no,no,0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0,0
94,no,no,0,137.5,118,23.38,203.2,88,17.27,150,131,6.75,13.4,2,3.62,0,0
118,no,yes,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,0
208,no,no,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,1
53,no,yes,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,0
62,no,no,0,182.3,101,30.99,328.2,93,27.9,245,131,11.03,11.2,1,3.02,2,0
97,no,no,0,218,86,37.06,184,94,15.64,240.5,110,10.82,6.4,8,1.73,3,0
157,no,no,0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1,0
38,no,no,0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3,0
106,no,no,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3,0
93,no,no,0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,0
127,no,yes,22,166,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,0
88,no,no,0,65.4,97,11.12,168.2,76,14.3,236,113,10.62,13.8,1,3.73,2,0
123,no,no,0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3,0
104,no,yes,23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4,0
63,yes,yes,36,199,110,33.83,291.3,111,24.76,197.6,92,8.89,11,6,2.97,1,0
53,no,no,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,0
139,no,no,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,1
110,no,no,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,0
73,no,no,0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,0
108,no,no,0,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54,0,1
107,no,yes,37,60,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3,0,0
51,no,no,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0,0
94,no,no,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,0
119,no,yes,23,154,114,26.18,278,137,23.63,228.4,112,10.28,11.8,4,3.19,2,0
106,no,no,0,207.9,91,35.34,172,109,14.62,191.8,143,8.63,14.4,7,3.89,4,0
82,no,no,0,207,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,0
86,no,yes,41,119,101,20.23,230,134,19.55,236.9,58,10.66,9.5,3,2.57,0,0
106,no,yes,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,0
114,no,no,0,84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,14.5,8,3.92,1,0
151,no,no,0,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16,1,0
78,no,no,0,168.3,110,28.61,221.2,73,18.8,241,136,10.85,12.5,1,3.38,1,0
155,no,no,0,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,2,0
64,no,yes,48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,0
101,no,no,0,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0,0
117,no,no,0,134.7,121,22.9,180,83,15.3,200.9,104,9.04,7.7,3,2.08,1,0
139,no,no,0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13,3,3.51,3,0
83,no,no,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,0
144,no,yes,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,1
146,yes,no,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,3,0
81,no,no,0,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2,0
48,no,yes,37,211.7,115,35.99,159.9,84,13.59,144.1,80,6.48,12.2,1,3.29,1,0
71,no,no,0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,0
137,no,no,0,206.4,122,35.09,128,102,10.88,194.5,84,8.75,8.8,5,2.38,2,0
167,no,no,0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,0,0
89,no,no,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,1
199,no,yes,34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8,2,2.16,0,0
96,no,yes,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,1
113,no,no,0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1,1
122,no,no,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,1
209,no,no,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,0
62,no,no,0,248.7,109,42.28,220,118,18.7,265.7,78,11.96,13.2,2,3.56,1,1
73,no,no,0,94.1,136,16,280.3,122,23.83,205,77,9.23,9.8,4,2.65,0,0
121,no,yes,35,68.7,95,11.68,209.2,69,17.78,197.4,42,8.88,11.4,4,3.08,1,0
158,no,no,0,205.2,97,34.88,240.6,77,20.45,79.7,108,3.59,14.4,12,3.89,0,0
116,no,no,0,192.1,98,32.66,312.9,135,26.6,130.2,94,5.86,7.9,2,2.13,3,0
86,no,no,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,1
108,no,no,0,169.6,99,28.83,264.1,87,22.45,206.3,78,9.28,9.3,4,2.51,0,0
55,no,no,0,194.1,121,33,176.6,110,15.01,302.8,136,13.63,7,7,1.89,2,0
44,no,yes,34,221.8,105,37.71,161.7,85,13.74,227.7,62,10.25,14,7,3.78,0,0
98,no,yes,21,64.6,98,10.98,176.1,86,14.97,244.8,84,11.02,0,0,0,2,0
64,no,yes,37,154.6,92,26.28,83.4,103,7.09,165.9,99,7.47,13.3,3,3.59,1,0
81,no,yes,33,161.6,117,27.47,123,90,10.46,261.3,101,11.76,12.2,5,3.29,1,0
83,no,yes,41,155.9,122,26.5,162.3,107,13.8,127.6,105,5.74,13.1,5,3.54,3,0
59,no,no,0,182.5,104,31.03,204.7,95,17.4,229.9,100,10.35,11.3,8,3.05,4,0
117,no,no,0,181.5,95,30.86,205.1,88,17.43,204,82,9.18,14.7,9,3.97,2,0
64,yes,no,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,1
124,yes,no,0,244.6,89,41.58,188.8,80,16.05,206,114,9.27,11.3,4,3.05,1,0
122,no,yes,23,134.2,85,22.81,227.3,132,19.32,122.4,96,5.51,8.5,2,2.3,2,0
90,no,yes,29,150.1,109,25.52,264.7,103,22.5,178.4,97,8.03,5.8,4,1.57,1,0
77,no,no,0,230,87,39.1,103.2,138,8.77,309.6,136,13.93,11.3,3,3.05,2,0
112,no,no,0,193.3,96,32.86,264.1,123,22.45,128.6,115,5.79,9.1,3,2.46,4,0
45,no,no,0,78.2,127,13.29,253.4,108,21.54,255,100,11.48,18,3,4.86,1,0
132,no,no,0,83.4,110,14.18,232.2,137,19.74,146.7,114,6.6,7.6,5,2.05,1,0
135,no,no,0,201.8,81,34.31,225,114,19.13,204.4,82,9.2,10.3,6,2.78,1,0
56,no,no,0,197,110,33.49,222.8,102,18.94,225.3,91,10.14,10.6,6,2.86,2,0
32,no,no,0,164.8,98,28.02,229.9,96,19.54,167.3,108,7.53,14.8,2,4,2,0
87,no,yes,21,214,113,36.38,180,114,15.3,134.5,82,6.05,10.6,5,2.86,0,0
138,no,no,0,170.5,87,28.99,118.2,116,10.05,187.9,111,8.46,11.2,7,3.02,2,0
127,no,no,0,221,100,37.57,160.7,113,13.66,233.1,96,10.49,6.8,4,1.84,2,0
97,no,no,0,151.6,107,25.77,155.4,96,13.21,240,112,10.8,14.7,4,3.97,1,0
98,no,yes,22,278.3,89,47.31,93.4,143,7.94,107.6,42,4.84,9.7,5,2.62,0,0
84,no,no,0,138.6,102,23.56,199,93,16.92,204.1,137,9.18,7.8,4,2.11,0,0
94,no,no,0,234.4,103,39.85,279.3,109,23.74,234.2,121,10.54,2,2,0.54,1,1
84,no,no,0,181.5,129,30.86,130.7,112,11.11,186.5,118,8.39,8.5,4,2.3,1,0
66,no,no,0,167.3,91,28.44,230,68,19.55,191.7,118,8.63,10.6,5,2.86,1,1
98,no,yes,31,121,105,20.57,218.9,98,18.61,226.7,110,10.2,12,1,3.24,1,0
74,no,no,0,221.1,124,37.59,110.8,94,9.42,240.1,112,10.8,10.6,3,2.86,0,0
73,no,no,0,183.4,80,31.18,242,115,20.57,201.4,100,9.06,7.5,3,2.03,4,0
21,no,no,0,146,78,24.82,109.7,79,9.32,247.4,108,11.13,6.8,7,1.84,0,0
122,no,no,0,157.1,134,26.71,184.9,122,15.72,197.2,59,8.87,8.5,5,2.3,4,1
133,yes,no,0,127.3,108,21.64,251.3,81,21.36,135,88,6.08,10.3,3,2.78,1,0
25,no,no,0,178.8,90,30.4,141.2,72,12,203,99,9.14,8.4,5,2.27,2,0
76,no,no,0,169.5,77,28.82,124,87,10.54,219.4,92,9.87,10,3,2.7,0,0
224,yes,no,0,171.5,99,29.16,160,103,13.6,212.4,102,9.56,5,2,1.35,1,1
117,no,no,0,239.9,84,40.78,174.8,106,14.86,209.5,93,9.43,9.8,2,2.65,0,0
141,no,yes,28,206.9,126,35.17,264.4,126,22.47,171.8,124,7.73,9.3,11,2.51,2,0
163,no,no,0,122.4,129,20.81,113.4,108,9.64,180.2,97,8.11,12.5,7,3.38,1,0
67,no,yes,40,104.9,65,17.83,216.3,93,18.39,217.4,128,9.78,9.6,9,2.59,1,0
112,no,no,0,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,2,3.46,1,0
61,no,yes,31,288.7,101,49.08,203.8,102,17.32,203.2,49,9.14,8.6,3,2.32,0,0
58,no,yes,29,240.4,80,40.87,118.9,91,10.11,164.2,108,7.39,11.2,3,3.02,1,0
155,no,no,0,190.3,123,32.35,301.3,96,25.61,214.6,134,9.66,8,3,2.16,1,0
113,no,no,0,155,93,26.35,330.6,106,28.1,189.4,123,8.52,13.5,3,3.65,1,0
135,no,yes,27,273.4,141,46.48,154,99,13.09,245.8,112,11.06,12.3,6,3.32,1,0
99,no,no,0,155.3,93,26.4,265.7,95,22.58,145.7,67,6.56,12.4,4,3.35,0,0
85,yes,no,0,165.4,107,28.12,196,126,16.66,349.2,110,15.71,9.6,7,2.59,2,0
88,no,no,0,138.3,116,23.51,236,138,20.06,179.1,110,8.06,9.6,4,2.59,3,0
85,no,no,0,127.9,107,21.74,271.2,124,23.05,202.2,76,9.1,12.5,5,3.38,0,0
86,no,yes,23,225.5,107,38.34,246.3,105,20.94,245.7,81,11.06,9.8,2,2.65,0,0
60,no,no,0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2,0
11,no,yes,28,190.6,86,32.4,220.1,122,18.71,180.3,80,8.11,6,3,1.62,3,0
90,no,no,0,261.8,128,44.51,220.6,104,18.75,136.6,91,6.15,9.6,5,2.59,1,0
71,yes,no,0,178.2,113,30.29,167.8,94,14.26,182.1,111,8.19,13.6,3,3.67,3,1
112,no,no,0,170.4,103,28.97,200.2,71,17.02,258.3,100,11.62,11.6,4,3.13,1,0
86,no,yes,32,70.9,163,12.05,166.7,121,14.17,244.9,105,11.02,11.1,5,3,3,0
41,no,yes,34,194.4,63,33.05,254.9,110,21.67,160.2,115,7.21,17.2,9,4.64,2,0
139,no,yes,20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,12,4,0,0
74,no,no,0,148.5,111,25.25,146.5,42,12.45,289.2,83,13.01,9.9,6,2.67,3,0
141,no,yes,23,149.7,112,25.45,162.5,118,13.81,220.3,115,9.91,7.6,2,2.05,3,0
99,no,no,0,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2,0
74,no,no,0,155.7,116,26.47,173.7,63,14.76,257.4,97,11.58,8.1,4,2.19,0,0
36,no,yes,16,149.4,111,25.4,131.8,113,11.2,132.7,87,5.97,6.7,2,1.81,0,0
165,no,no,0,242.9,126,41.29,209.8,65,17.83,228.4,126,10.28,0,0,0,1,0
55,yes,no,0,191.9,91,32.62,256.1,110,21.77,203.7,101,9.17,14.3,6,3.86,1,1
92,yes,no,0,130.7,113,22.22,260.6,122,22.15,244.2,98,10.99,9.4,2,2.54,2,1
129,no,yes,33,119.6,104,20.33,278.7,88,23.69,263.4,175,11.85,5.9,2,1.59,2,0
75,yes,no,0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,1
95,no,no,0,175.2,91,29.78,244.4,109,20.77,75.8,95,3.41,7.5,2,2.03,1,0
126,no,yes,23,114.3,102,19.43,190.3,103,16.18,240.4,111,10.82,12.6,7,3.4,3,0
124,no,yes,28,251.4,104,42.74,225.1,89,19.13,251.9,121,11.34,7.5,5,2.03,1,0
93,yes,no,0,216.9,61,36.87,207.4,120,17.63,221.7,110,9.98,17.5,5,4.73,1,1
41,no,no,0,159.3,66,27.08,125.9,75,10.7,261.9,76,11.79,11.1,5,3,1,0
136,no,yes,31,143.1,88,24.33,236.6,65,20.11,227.8,120,10.25,11.4,5,3.08,2,0
92,no,no,0,154,122,26.18,329.8,88,28.03,288,117,12.96,5.6,2,1.51,3,1
143,no,yes,24,186.6,69,31.72,222,116,18.87,234.9,138,10.57,11.6,5,3.13,1,0
73,no,no,0,198.3,94,33.71,279.3,101,23.74,146.2,87,6.58,14.8,8,4,3,0
62,no,no,0,172.8,101,29.38,204.8,97,17.41,240.8,90,10.84,9.1,8,2.46,2,0
30,no,yes,30,217.4,74,36.96,213.8,86,18.17,227.2,104,10.22,6.6,3,1.78,0,0
60,yes,yes,29,265.9,113,45.2,215.8,94,18.34,108.1,82,4.86,14,12,3.78,0,1
96,no,no,0,98.2,100,16.69,307.2,88,26.11,182.5,120,8.21,7.6,1,2.05,2,0
41,no,no,0,202.9,97,34.49,153.8,104,13.07,113.5,92,5.11,9,3,2.43,3,0
112,no,no,0,261.4,108,44.44,154.5,102,13.13,130.9,90,5.89,11.6,2,3.13,1,0
88,no,no,0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4,1
61,no,no,0,45,108,7.65,151.3,74,12.86,152.9,94,6.88,9.8,6,2.65,2,0
87,no,no,0,231.3,105,39.32,171.7,108,14.59,67.7,136,3.05,13,6,3.51,1,0
176,no,no,0,47.4,125,8.06,167.8,90,14.26,163.1,107,7.34,10.5,8,2.84,2,0
77,no,no,0,163,112,27.71,219.1,89,18.62,233.4,66,10.5,6.7,3,1.81,2,0
98,no,yes,38,213.7,61,36.33,253,104,21.51,207.7,73,9.35,10.7,5,2.89,2,0
125,no,yes,36,201.3,117,34.22,42.2,78,3.59,125.7,104,5.66,5.4,3,1.46,1,0
194,no,no,0,48.4,101,8.23,281.1,138,23.89,218.5,87,9.83,18.2,1,4.91,1,0
190,no,yes,22,166.5,93,28.31,183,92,15.56,121,102,5.44,8.5,3,2.3,0,0
165,no,no,0,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0,0
150,no,yes,29,209.9,77,35.68,158,52,13.43,141.9,113,6.39,6.6,1,1.78,0,0
152,yes,yes,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9,1
69,yes,no,0,279.8,90,47.57,248.7,91,21.14,171,118,7.69,8.4,10,2.27,2,1
111,no,no,0,172.8,58,29.38,183.1,108,15.56,158.8,104,7.15,7.9,3,2.13,4,1
44,no,no,0,288.1,112,48.98,258,92,21.93,192.4,90,8.66,10.2,4,2.75,3,1
61,yes,no,0,78.2,103,13.29,195.9,149,16.65,108,100,4.86,10.1,6,2.73,2,0
74,no,yes,25,194.6,84,33.08,119.9,103,10.19,175.5,75,7.9,13.1,2,3.54,2,0
74,no,no,0,174.1,96,29.6,251.1,94,21.34,257.6,123,11.59,8.3,5,2.24,2,1
80,no,no,0,160.6,103,27.3,237,109,20.15,245.1,88,11.03,10.7,1,2.89,1,0
97,no,no,0,211,76,35.87,189,100,16.07,123,102,5.54,4.7,4,1.27,3,0
44,yes,no,0,62.3,92,10.59,275,82,23.38,138.7,108,6.24,10.8,3,2.92,1,0
44,no,no,0,228.1,121,38.78,276.5,79,23.5,279.8,77,12.59,9.9,5,2.67,2,1
114,no,yes,36,309.9,90,52.68,200.3,89,17.03,183.5,105,8.26,14.2,2,3.83,1,0
92,no,no,0,201.9,74,34.32,226.8,119,19.28,217.5,80,9.79,13.7,6,3.7,3,0
72,no,yes,21,186.7,108,31.74,335,86,28.48,187.2,119,8.42,16.5,4,4.46,1,0
171,no,yes,25,223.2,77,37.94,183.2,118,15.57,150.8,90,6.79,10.2,3,2.75,3,0
165,no,no,0,150.5,75,25.59,193.1,93,16.41,311.6,93,14.02,10.3,2,2.78,1,0
104,no,no,0,234.2,128,39.81,293.1,92,24.91,183.9,79,8.28,9.8,6,2.65,0,1
110,no,no,0,55.3,102,9.4,164.7,124,14,200.7,108,9.03,10.2,5,2.75,1,0
90,yes,no,0,221.8,97,37.71,203.8,134,17.32,215.8,154,9.71,8.4,4,2.27,1,0
117,no,yes,14,80.2,81,13.63,219,103,18.62,122.6,102,5.52,8.6,2,2.32,1,0
109,no,no,0,218.9,105,37.21,299.9,87,25.49,158.6,110,7.14,11.3,4,3.05,2,0
92,no,no,0,176.3,85,29.97,93.4,125,7.94,207.2,107,9.32,9.6,1,2.59,2,0
124,no,no,0,157.5,70,26.78,130.7,79,11.11,193.4,98,8.7,9.6,4,2.59,3,0
102,no,no,0,102.6,89,17.44,246,77,20.91,170.5,140,7.67,9.1,4,2.46,2,0
62,yes,no,0,159.7,86,27.15,197.5,76,16.79,121.6,105,5.47,13.9,6,3.75,0,1
53,no,no,0,57.5,95,9.78,265.5,131,22.57,244.3,128,10.99,11.6,6,3.13,3,0
112,no,no,0,335.5,77,57.04,212.5,109,18.06,265,132,11.93,12.7,8,3.43,2,1
63,no,yes,29,142.3,107,24.19,118.7,56,10.09,240.1,91,10.8,6.6,8,1.78,1,0
111,no,no,0,146.2,55,24.85,261.5,83,22.23,163.2,116,7.34,8.7,3,2.35,3,0
91,no,no,0,231.8,120,39.41,150.6,106,12.8,269.2,129,12.11,11.6,7,3.13,3,0
90,no,no,0,193.7,83,32.93,154.2,79,13.11,299,60,13.46,12.7,3,3.43,1,0
105,yes,yes,29,220.7,82,37.52,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,1
166,yes,yes,35,128.2,138,21.79,274.5,113,23.33,298.9,130,13.45,8.8,7,2.38,2,0
